RNA,Locus
XR_005039991.1,LOC118944665
XM_021580605.2,LOC110502506
XM_021580824.2,LOC110502566
XM_021581178.2,LOC110502819
XM_021580947.2,LOC110502681
XM_036963710.1,LOC110502681
XM_021581316.2,LOC110502937
XM_021581428.2,LOC110502937
XM_021581383.2,LOC110502937
XM_021581594.2,LOC110503198
XM_021581661.2,LOC110503198
XM_036964016.1,LOC110503136
XM_021581489.2,LOC110503136
XM_021581734.2,LOC110503352
XR_002470477.2,LOC110503449
XM_021581890.2,LOC110503510
XM_021582003.2,LOC110503571
XM_021582117.2,larp6b
XR_005039952.1,LOC118944655
XR_002470523.2,LOC110503761
XR_002470515.2,LOC110503761
XR_005039975.1,LOC110503939
XM_021582641.2,LOC110503939
XM_036964798.1,tmprss9
XM_036964853.1,tmprss9
XM_021582865.2,LOC110504002
XM_036965100.1,LOC110504002
XM_021582778.2,LOC110504002
XM_021582934.2,LOC110504002
XM_036965197.1,LOC110504002
XR_002470564.2,LOC110504151
XR_005040019.1,LOC110504151
XM_036965331.1,LOC110532018
XM_036965390.1,LOC110532018
XM_021583115.2,LOC110504304
XM_021584354.1,LOC110505227
XM_021584436.2,LOC110505227
XM_021584517.2,LOC110505227
XM_021584619.2,LOC110505394
XM_021584887.2,LOC110505456
XM_021584722.2,LOC110505456
XM_036965805.1,LOC110505456
XM_036965841.1,LOC110505456
XM_021585008.2,LOC110505628
XR_005040202.1,LOC110505771
XM_036966021.1,LOC110505771
XM_036966107.1,LOC110505771
XM_036966143.1,LOC110505771
XM_021585557.2,gpx4a
XM_021585624.2,gpx4a
XM_021585488.2,LOC110506010
XM_036966620.1,LOC110505853
XM_036966535.1,LOC110505853
XM_036966295.1,LOC110505853
XM_036966229.1,LOC110505853
XM_036966462.1,LOC110505853
XM_036966500.1,LOC110505853
XM_036966578.1,LOC110505853
XM_036966398.1,LOC110505853
XM_036966344.1,LOC110505853
XM_036967004.1,LOC110506262
XM_036966954.1,LOC110506262
XM_036966919.1,LOC110506262
XM_036966877.1,LOC110506262
XM_036967124.1,LOC110506262
XM_036967074.1,LOC110506262
trnaa,tRNA
XM_021585878.2,LOC110506309
XM_036967166.1,LOC110532063
XR_002470964.2,LOC110506380
XM_021586194.2,rfxank
XM_036967246.1,rfxank
XR_002471004.2,borcs8
XR_002471008.2,borcs8
XM_021586402.2,borcs8
XM_021586479.2,borcs8
XM_021586565.2,borcs8
XM_021586643.2,borcs8
XM_021586703.2,borcs8
XM_021586079.2,tmem221
XM_021586891.2,mef2b
XM_036967785.1,LOC110532071
XM_036967735.1,LOC110532071
XR_005040456.1,LOC118945307
XR_005040444.1,LOC118945307
XR_005040433.1,LOC118945307
XR_005040441.1,LOC118945307
XR_005040464.1,LOC118945307
XR_005040463.1,LOC118945307
XR_005040447.1,LOC118945307
XR_005040481.1,LOC118945319
XM_036968243.1,LOC110507137
XM_036968278.1,LOC110507137
XM_036968324.1,LOC110507137
XM_021587035.2,LOC110507137
XM_021587169.2,LOC110507137
XM_021587106.2,LOC110507137
XM_021587249.2,LOC110507137
XM_036968551.1,LOC110507450
XM_036968593.1,LOC110507450
XM_036968626.1,LOC110507450
XM_036968478.1,LOC110507450
XM_036968372.1,LOC110507450
XM_036968383.1,LOC110507450
XM_036968379.1,LOC110507450
XM_036968389.1,LOC110507450
XM_036968412.1,LOC110507450
XM_021587613.2,LOC110507530
XR_005040883.1,LOC118945781
XM_021587735.2,LOC110507602
XM_021593125.2,LOC110512702
XR_005040927.1,LOC110507674
XR_005040916.1,LOC110507674
XR_005040917.1,LOC110507674
XR_005040902.1,LOC110507674
XR_005040908.1,LOC110507674
XM_036969098.1,LOC110507674
XM_036969020.1,LOC110507674
XM_036968943.1,LOC110507674
XM_036969142.1,LOC110507674
XR_005036806.1,cirbp
XM_036948335.1,cirbp
NM_001165119.1,annotated by transcript or proteomic data
XM_036947876.1,cirbp
XM_036947495.1,cirbp
XM_021587980.2,LOC110507736
XM_021588545.2,LOC110508066
XM_021588588.2,LOC110508066
XM_021588109.2,LOC110507802
XM_036969584.1,LOC110508215
XM_021588739.2,LOC110508215
XM_036969526.1,LOC110508215
XM_021588935.2,LOC110508358
XM_021589012.2,LOC110508358
XM_036969779.1,LOC110508526
XM_036969893.1,LOC110508526
XM_036969836.1,LOC110508526
XM_021589263.2,unclassified transcription discrepancy
XR_005041163.1,LOC118946025
XM_021589385.2,LOC110508655
XM_036970165.1,LOC110508655
XM_021589510.2,LOC110508721
XM_021589846.2,LOC110508905
XM_036970373.1,LOC110532091
XR_002471395.2,LOC110508988
XR_002471392.2,LOC110508988
XM_021590144.2,zgc:110339
XM_021590070.2,zgc:110339
XM_021590202.2,LOC110509244
XM_036970700.1,LOC110509312
XM_021590452.2,LOC110509312
XM_021590310.2,LOC110509312
XM_021590261.2,LOC110509312
XM_021590377.2,LOC110509312
XM_036970786.1,LOC110509621
XM_036970849.1,LOC110509621
XM_036970897.1,LOC110509621
XM_036970958.1,LOC110509621
XM_021591181.2,LOC110509695
XM_021591024.2,LOC110509695
XM_021590861.2,LOC110509695
XM_021590940.2,LOC110509695
XM_021590779.2,LOC110509695
XM_021591102.2,LOC110509695
XR_005041342.1,LOC110513869
XR_005041338.1,LOC110513869
XR_002472098.2,LOC110513869
XM_021615713.2,LOC110532100
XM_021615727.2,LOC110532107
XM_036971630.1,LOC110510003
XM_021591382.2,LOC110510003
XM_021591303.2,LOC110510003
XM_021591461.2,LOC110510003
XM_036971711.1,LOC110510174
XM_036971865.1,LOC110510174
XM_036971828.1,LOC110510174
XM_036971767.1,LOC110510174
XM_036971864.1,LOC110510174
XM_036971878.1,LOC110510174
XR_002471552.2,LOC110510264
XR_002471547.2,LOC110510264
XR_002471574.2,LOC110510264
XM_021591764.2,LOC110510264
XM_021592045.2,LOC110510575
XM_021591998.2,LOC110510575
XM_021591958.2,LOC110510575
XM_021591923.2,LOC110510575
XM_021592107.2,LOC110510928
XR_002471667.2,LOC110511054
XM_021592266.2,LOC110511247
XM_036972417.1,LOC110511130
XM_036972413.1,LOC110511130
XM_021592337.2,LOC110511358
XM_021592384.2,LOC110511358
XM_021592530.2,LOC110511707
XM_021592581.2,LOC110511826
XM_021592683.2,LOC110512077
XM_036972886.1,LOC110512077
XM_021592720.2,LOC110512077
XM_021592634.2,uba2
XM_021592826.2,LOC110512398
XM_036973051.1,LOC118948024
XM_021592905.2,LOC110512529
XM_021592933.2,LOC110512529
XM_021592873.2,LOC110512529
XM_021592977.2,LOC110512529
XM_021593038.2,ccdc113
XM_036973357.1,LOC110513011
XM_021593154.2,LOC110513138
XM_036973407.1,LOC110513261
XM_036973483.1,LOC110513261
XM_021593323.2,LOC110513500
XM_021593400.2,LOC110513605
XM_036973690.1,LOC110513717
XM_036973661.1,LOC110513717
XM_036973682.1,LOC110513717
XM_036973646.1,LOC110513717
XM_036973678.1,LOC110513717
XM_036973694.1,LOC110513717
XM_036973702.1,LOC110513717
XM_021593578.2,LOC110513914
XM_021593644.2,unclassified transcription discrepancy
XM_021593712.2,LOC110514161
NM_001124489.2,annotated by transcript or proteomic data
XM_036973745.1,LOC110514277
XM_036973739.1,LOC110514277
XM_036973740.1,LOC110514277
XM_036973736.1,LOC110514277
XM_036973743.1,LOC110514277
XM_036973764.1,LOC110514277
XM_021593811.2,LOC110514277
XM_021594017.2,LOC110514811
XM_036973795.1,LOC110514924
XM_036973796.1,LOC110514924
XM_036973793.1,LOC110514924
XM_021594064.2,LOC110514924
XM_021594154.2,LOC110514924
XM_021594190.2,LOC110514924
XM_021594255.2,exoc3l1
XM_021594367.2,exoc3l1
XM_021594483.2,prmt7
XM_021594438.2,prmt7
NM_001165110.1,annotated by transcript or proteomic data
XM_021559670.2,ciapin1
XM_021558348.2,ciapin1
XM_036946489.1,ciapin1
XM_021594616.2,coq9
XM_021594543.2,polr2c
XM_036973884.1,wwp2
XM_036973901.1,wwp2
XM_036973896.1,wwp2
XM_036973903.1,wwp2
NM_001165109.1,annotated by transcript or proteomic data
XM_021594723.2,tmem231
XR_005043876.1,chst6
XM_036973917.1,chst6
XM_036973914.1,chst6
XM_036973930.1,LOC110516219
XM_021594966.2,sntb2
XR_005043877.1,vps4a
XM_021595047.2,vps4a
XR_002472482.2,cdk10
XM_021595131.2,cdk10
XM_021595259.2,chmp1a
XM_021595326.2,LOC110517088
XR_002472929.2,LOC110520003
XM_021595392.2,znf276
XR_002472598.2,LOC110517311
XR_002472594.2,LOC110517311
XR_002472603.2,LOC110517311
XM_036974004.1,LOC110517311
XM_036973999.1,LOC110517311
XM_036974049.1,LOC110517311
XM_036973994.1,LOC110517311
XM_036973989.1,LOC110517311
XM_021595524.2,LOC110517311
XM_036974064.1,LOC110517311
XM_021595452.2,LOC110517311
XM_036974080.1,LOC110517311
XM_021595703.2,LOC110517792
XM_021595766.2,spata2l
XM_021595803.2,spata2l
XM_036974098.1,tat
XM_036974129.1,LOC118936285
XM_021595947.2,LOC118936285
XM_021596097.2,zgc:56622
XM_021596054.2,zgc:56622
XM_021596222.2,cotl1
XR_005046131.1,LOC118956655
XM_021596297.2,plcg2
XM_036974229.1,LOC110519016
XM_021596479.2,LOC110519226
XM_021596436.2,LOC110519226
XM_036974279.1,LOC110519226
XM_036974277.1,LOC110519226
XM_021596626.2,LOC110519532
XM_021596750.2,kiaa0513
XM_021596711.2,kiaa0513
XM_021596821.2,kiaa0513
XM_021596802.2,kiaa0513
XM_021596811.2,kiaa0513
XM_021596672.2,kiaa0513
XR_005040503.1,LOC110520053
XR_002472933.2,LOC110520053
XM_021597165.2,LOC110520087
XM_021596853.2,LOC110519941
XM_021596832.2,LOC110519941
XM_021596842.2,LOC110519941
XM_036974348.1,LOC110519941
XM_021596861.2,LOC110519951
XM_021596891.2,zc3h18
XM_021596875.2,zc3h18
XM_021596900.2,zc3h18
XM_021596882.2,zc3h18
XM_036974379.1,zc3h18
XM_036974374.1,zc3h18
XM_036974422.1,zc3h18
NM_001185029.1,annotated by transcript or proteomic data
XM_021596928.2,LOC110519986
XM_036974437.1,LOC110519986
XM_021596940.2,LOC110519996
XM_036974449.1,LOC110520001
XR_005040979.1,LOC118945804
XM_021596965.2,LOC110520008
XM_021596976.2,LOC110520015
XM_021596988.2,LOC110520022
XM_021597000.2,LOC110520029
XM_036974547.1,LOC110520038
XM_036974542.1,LOC110520038
XM_036974537.1,LOC110520038
XM_036974544.1,LOC110520038
XR_005048946.1,LOC110520043
XR_005048902.1,LOC110520043
XR_002472931.2,LOC110520043
XM_036989341.1,LOC118966629
XM_021597033.2,si:ch211-216l23.2
XM_021597042.2,si:ch211-216l23.2
XM_036974568.1,LOC110520060
XM_036974573.1,LOC110520060
XM_036974585.1,LOC110520062
XM_021597071.2,LOC110520062
XM_036974576.1,LOC110520062
XM_021597084.2,LOC110520069
XM_021597099.2,n4bp1
XR_005053625.1,LOC118966748
XM_021597135.2,LOC110520078
XM_021597126.2,LOC110520078
XM_021597112.2,LOC110520078
XM_021597149.2,LOC110520098
XM_021597157.2,LOC110520098
XM_021597170.2,LOC110520111
XM_036974703.1,LOC110520123
XM_021597215.2,LOC110520128
XM_021597226.2,LOC110520135
XM_021597236.2,LOC110520135
XM_036974750.1,LOC110520144
XM_021597248.2,LOC110520144
XR_005051346.1,LOC110520156
XR_002472952.2,LOC110520156
XM_021597296.2,LOC110520156
XM_021597317.2,LOC110520156
XM_036974811.1,LOC110520156
XM_036974793.1,LOC110520156
XM_021597325.2,LOC110520156
XM_036974815.1,LOC110520156
XM_021597280.2,LOC110520156
XM_021597288.2,LOC110520156
XR_005050752.1,LOC110520152
XM_021597260.2,LOC110520152
XM_036974738.1,LOC110520152
XR_002472956.2,LOC110520201
XM_021597364.2,LOC110520206
XM_021597382.2,LOC110520211
XM_036974842.1,LOC110520211
XM_021597398.2,LOC110520211
XM_021597409.2,mt2
XM_021597430.2,LOC110520245
XM_021597421.2,LOC110520245
XM_021597442.2,LOC110520258
XM_036974885.1,LOC110520267
XM_036974887.1,LOC110520267
XM_021597454.2,LOC110520267
XM_021597473.2,LOC110520275
XM_036974899.1,LOC110520275
XM_021597466.2,LOC110520275
XM_036974915.1,LOC110520275
XM_021597481.2,LOC110520275
XM_036974922.1,LOC110520292
XM_036974925.1,LOC110520292
XM_036974932.1,LOC110532139
XM_036974943.1,LOC110532139
XM_021597536.2,LOC110520308
XM_036974957.1,LOC110520323
XM_036974963.1,LOC110520323
XM_036974953.1,LOC110520323
XM_021597599.2,cfdp1
XM_036974976.1,cfdp1
XM_036974966.1,cfdp1
XM_021597619.2,LOC110520354
XM_036975023.1,ctcf
XM_021597702.2,ctcf
XM_021597694.2,ctcf
XM_021597685.2,ctcf
XM_021597712.2,ctcf
XM_021597646.2,ripor1
XM_021597638.2,ripor1
XM_021597630.2,ripor1
XM_021597656.2,ripor1
XM_021597725.2,pard6a
XM_021597802.2,ranbp10
XM_021597763.2,ranbp10
XM_021597772.2,ranbp10
XM_021597781.2,ranbp10
XM_021597790.2,ranbp10
XM_021597796.2,ranbp10
XM_021597752.2,tsnaxip1
XM_021597743.2,tsnaxip1
XM_036975065.1,tsnaxip1
XM_021597814.2,nutf2
XM_021597821.2,nutf2
XM_021597842.2,LOC110520482
XM_021597833.2,LOC110520482
XM_021597852.2,LOC110520482
XM_021597865.2,nrn1la
XM_036975125.1,pskh1
XM_021597876.2,pskh1
XM_021597889.2,mbtps1
XM_036975151.1,mbtps1
XM_036975166.1,necab2
XM_036975159.1,necab2
XM_036975172.1,necab2
XM_021597922.2,hydin
XM_021597913.2,hydin
XM_036975199.1,hydin
XM_021597929.1,pnp6
XM_021597940.2,LOC110520547
XM_021597949.2,LOC110520559
XM_021597967.2,LOC110520570
XM_021597960.2,LOC110520570
XM_021597987.2,LOC110520584
XM_021597978.2,LOC110520584
XM_036975282.1,LOC110520608
XM_021598040.2,LOC110520608
XM_021598032.2,LOC110520608
XM_021598024.2,LOC110520608
XM_021598015.2,LOC110520608
XM_021598056.2,LOC110520608
XM_036975304.1,LOC110520608
XM_021598007.2,LOC110520608
XM_021598074.2,LOC110520650
XM_021597997.2,LOC110520598
XM_036975249.1,LOC110520598
XM_021598084.2,LOC110520661
XM_021598093.2,LOC110520673
XM_036975371.1,mef2aa
XM_021598107.2,mef2aa
XM_021598130.2,mef2aa
XM_021598113.2,mef2aa
XM_021598137.2,mef2aa
XM_021598145.2,mef2aa
XM_021598163.2,mctp2a
XR_005041213.1,LOC118946030
XR_002473025.2,LOC110520750
XM_021598179.2,nr2f2
XM_021598193.2,nr2f2
XM_021598185.2,nr2f2
XM_021598220.2,lysmd4
XM_021598228.2,lysmd4
XM_021598214.2,lysmd4
XM_036975419.1,lysmd4
XR_005051428.1,LOC118964375
XM_021598238.2,rgma
XM_036975431.1,rgma
XM_021598263.2,chd2
XM_021598254.2,chd2
XM_021598298.2,chd2
XM_021598280.2,chd2
XM_021598247.2,chd2
XM_021598271.2,chd2
XM_021598290.2,chd2
XR_002473027.2,LOC110520865
XR_002473028.2,LOC110520865
XR_005051438.1,fam174b
NM_001124240.1,annotated by transcript or proteomic data
XM_021598330.2,slco3a1
XM_036989384.1,LOC110532168
XM_021598342.2,plin1
XM_021598341.2,plin1
XM_021598349.2,gnrhr4
XM_021598357.2,LOC110520931
XM_021598368.2,LOC110520931
XM_021598371.2,LOC110520932
XM_036975461.1,LOC110520933
XM_036975472.1,LOC110520933
XM_021598375.2,LOC110520933
XM_036975465.1,LOC110520933
XM_036975478.1,LOC110520933
XM_036975537.1,LOC110520934
XM_036975507.1,LOC110520934
XM_021598395.2,LOC110520934
XM_021598388.2,LOC110520934
XM_021598411.2,LOC110520934
XM_021598393.2,LOC110520934
XM_021598406.2,LOC110520934
XM_036975515.1,LOC110520934
XM_021598391.2,LOC110520934
XM_021598416.2,LOC110520934
XM_021598402.2,LOC110520934
XM_021598456.2,LOC110520934
XM_021598450.2,LOC110520934
XM_021598429.2,LOC110520934
XM_021598444.2,LOC110520934
XM_021598433.2,LOC110520934
XM_021598438.2,LOC110520934
XM_021598466.2,LOC110521024
XM_036975547.1,LOC110521024
XM_021598520.2,LOC110521096
XM_036975601.1,LOC110521096
XM_036975603.1,LOC110521096
XM_021598504.2,LOC110521059
XM_021598492.2,LOC110521059
XM_021598486.2,LOC110521059
XM_021598498.2,LOC110521059
XM_021598509.2,LOC110521059
XM_021598529.2,rcn2
XM_021598540.2,LOC110521117
XM_021598560.2,tspan3a
XM_021598551.2,tspan3a
XM_021598577.2,tspan3a
XM_021598569.2,tspan3a
XM_021615874.1,LOC110532186
XM_036975652.1,LOC110521155
XM_021598585.2,LOC110521155
XM_021598593.2,LOC110521155
XM_036975648.1,LOC110521155
XM_021598620.2,LOC110521169
XM_021598606.2,LOC110521169
XM_021598627.2,LOC110521169
XM_021598613.2,LOC110521169
XM_021598634.2,LOC110521169
XM_021598641.2,LOC110521202
XM_021598646.2,LOC110521202
trnah,tRNA
XM_021598657.2,LOC110521218
XM_021598665.2,LOC110521218
XM_036975692.1,LOC110521218
XM_021598687.2,LOC110521239
XM_021597495.2,LOC110520271
XM_021598719.2,LOC110521263
XM_036975701.1,LOC110521251
XM_036975695.1,LOC110521251
XM_021598789.2,LOC110521304
XM_021598780.2,LOC110521304
XM_021598800.2,zgc:162879
XM_021598981.2,LOC110521435
XM_021598889.2,LOC110521366
XM_021598898.2,LOC110521366
XM_021598882.2,LOC110521366
XM_021598873.2,LOC110521366
XM_021598821.2,LOC110521325
XM_021598812.2,LOC110521325
XM_021598947.2,pex11a
XR_002473145.2,LOC110521442
XR_005051487.1,LOC118964447
XM_021598968.2,LOC110521431
XM_021598921.2,si:dkey-30c15.2
XM_036975796.1,neto2b
XM_021598845.2,neto2b
XM_036975856.1,LOC110521335
XM_036975799.1,pdp2
XM_036975800.1,pdp2
XM_036975828.1,pdp2
XM_036975811.1,pdp2
XM_036975820.1,pdp2
XM_021598857.2,pdp2
XM_021598865.2,pdp2
XM_036975822.1,pdp2
XR_002473147.2,LOC110521450
XR_005051470.1,terb1
XM_036975770.1,terb1
XM_036975772.1,terb1
XM_036975775.1,terb1
XM_036975868.1,LOC110521397
XM_021598930.2,LOC110521397
XM_021598936.2,LOC110521397
XM_021598957.2,si:dkey-30c15.13
XM_021598754.2,LOC110521272
XM_021598746.2,LOC110521272
XM_036975742.1,LOC110521272
XM_021598738.2,LOC110521272
XM_021598730.2,LOC110521272
XM_036975949.1,LOC110532201
XM_036975962.1,LOC110532201
XM_036975959.1,LOC110532201
XM_036975929.1,LOC110532201
XM_036975922.1,LOC110532201
XM_036975990.1,LOC110532201
XM_036975914.1,LOC110532201
XM_036975919.1,LOC110532201
XM_036975911.1,LOC110532201
XM_036975904.1,LOC110532201
XM_036975971.1,LOC110532201
XM_036975987.1,LOC110532201
XM_036975983.1,LOC110532201
XM_036975979.1,LOC110532201
XM_036975974.1,LOC110532201
XM_036975940.1,LOC110532201
XM_036975932.1,LOC110532201
XR_002473150.2,LOC110521454
XM_021599015.2,LOC110521454
XM_021599033.2,LOC110521454
XM_021599007.2,LOC110521454
XM_036976013.1,LOC110521454
XM_021599023.2,LOC110521454
XM_021599053.2,LOC110521475
XM_021599061.2,LOC110521475
XM_021599101.2,LOC110521494
XM_021599091.2,LOC110521494
XM_021599082.2,LOC110521494
XR_005051510.1,LOC118964459
XM_021599112.2,si:ch211-233h19.2
XM_036976060.1,grm3
XM_036976052.1,grm3
XM_036976064.1,sema3d
XM_036976073.1,LOC110521527
XM_021599130.2,LOC110521527
XM_021599138.2,LOC110521527
XM_036976081.1,sema3e
XM_036976076.1,sema3e
XM_036976108.1,LOC118964465
XM_036976084.1,LOC110532225
XM_036976089.1,LOC110532225
XM_036976091.1,LOC110532225
XM_036976094.1,LOC110532225
XM_021599192.2,LOC110521560
XM_036989406.1,unclassified transcription discrepancy
XM_021599209.2,LOC110521571
XM_021599223.2,lrrc4.2
XM_021599268.2,rbm28
XM_021599259.2,rbm28
XM_021599287.2,LOC110521608
XM_021599303.2,LOC110521614
XM_021599314.2,LOC110521627
XM_036976155.1,si:ch1073-390k14.1
XM_021599348.2,LOC110521650
XM_036976231.1,LOC110521655
XM_036976238.1,LOC110521655
XM_036976219.1,LOC110521655
XM_036976213.1,LOC110521655
XM_021599371.2,LOC110521655
XM_021599564.2,calub
XM_036976433.1,calub
XM_036989435.1,LOC110532237
XR_005051563.1,LOC110521761
XR_005051565.1,LOC110521761
XM_036976194.1,LOC110521642
XM_036976180.1,LOC110521642
XM_036976186.1,LOC110521642
XM_036976202.1,LOC110521642
XM_036976369.1,iqsec3b
XM_036976378.1,iqsec3b
XM_021599530.2,LOC110521723
XM_036976407.1,LOC110521723
XR_005051566.1,LOC118964492
XR_005051558.1,LOC110521734
XM_021599542.2,LOC110521734
XM_021599507.2,LOC110521711
XM_036976391.1,LOC110521711
XM_036976242.1,LOC110521665
XM_036976276.1,LOC110521665
XM_036976252.1,LOC110521665
XM_036976265.1,LOC110521665
XM_036976313.1,LOC110521665
XM_036976329.1,LOC110521665
XM_036976259.1,LOC110521665
XM_036976296.1,LOC110521665
XM_036976286.1,LOC110521665
XM_036976307.1,LOC110521665
XM_036976338.1,LOC110521665
XM_036976320.1,LOC110521665
XM_036976346.1,LOC110521665
XM_036976351.1,LOC110521665
XM_021599485.2,LOC110521665
XM_036976452.1,LOC110521742
XM_021599669.2,LOC110521764
XM_021599612.2,LOC110521764
XM_036976516.1,LOC110521764
XM_021599638.2,LOC110521764
XM_036976492.1,LOC110521764
XM_021599726.2,LOC110521764
XM_021599709.2,LOC110521764
XM_021599718.2,LOC110521764
XM_021599693.2,LOC110521764
XM_036976511.1,LOC110521764
XM_021599676.2,LOC110521764
XM_021599629.2,LOC110521764
XM_036976513.1,LOC110521764
XM_036976494.1,LOC110521764
XM_036976506.1,LOC110521764
XM_036976496.1,LOC110521764
XM_036976498.1,LOC110521764
XM_036976475.1,LOC110521764
XM_021599749.2,LOC110521835
XM_021599787.2,LOC110521853
XM_021599795.2,LOC110521853
XM_036976522.1,LOC110521853
XM_036976525.1,LOC110521870
XM_036989446.1,zgc:77752
XR_002473231.2,LOC110521894
XR_005051594.1,LOC110521894
XR_002473232.2,LOC110521897
XM_036976539.1,bend7
XM_036976542.1,bend7
XM_021599875.2,LOC110521911
XM_021599884.2,LOC110521911
XM_021599865.2,LOC110521911
XM_036984838.1,cpt1
XM_036986122.1,cpt1
XM_036985693.1,cpt1
XM_036986625.1,cpt1
XM_036985287.1,cpt1
XM_036984421.1,cpt1
XM_036986954.1,cpt1
NM_001124735.1,annotated by transcript or proteomic data
XM_036976547.1,LOC110521923
NM_001124600.1,annotated by transcript or proteomic data
XM_021599925.2,LOC110521947
XR_005041872.1,LOC118947385
XM_036976593.1,LOC118964549
XM_036976586.1,LOC110521950
XM_021599989.2,LOC110521966
